,sentence,label,NN,JJ,PRP
2180,"['Commandeering', 'a', 'passing', 'car', ',', 'Kimmell', 'pursued', 'the', 'fleeing', 'vehicle', ',', 'but', 'lost', 'it', 'in', 'traffic', '.']",news,6,0,0
2181,"['Returning', 'to', 'the', 'school', 'crossing', ',', 'the', 'officer', 'was', 'informed', 'by', 'the', 'Sisk', 'boy', 'that', 'he', 'recognized', 'the', 'driver', ',', 'a', 'neighbor', ',', 'and', 'had', 'obtained', 'the', 'license', 'number', '.']",news,8,1,0
2182,"['The', 'motorist', 'later', 'was', 'identified', 'as', 'Richard', 'Sarkees', ',', '17', ',', 'of', '2433', 'McClellan', ',', 'currently', 'on', 'probation', 'and', 'under', 'court', 'order', 'not', 'to', 'drive', '.']",news,7,0,0
2183,"['Given', '15', 'days']",news,1,0,0
2184,"['He', 'was', 'found', 'guilty', 'of', 'reckless', 'driving', 'yesterday', 'by', 'Traffic', 'Judge', 'George', 'T.', 'Murphy', ',', 'who', 'continued', 'his', 'no-driving', 'probation', 'for', 'another', 'year', 'and', 'ordered', 'him', 'to', 'spend', '15', 'days', 'in', 'the', 'Detroit', 'House', 'of', 'Correction', '.']",news,12,3,0
2185,"['The', 'jail', 'sentence', 'is', 'to', 'begin', 'the', 'day', 'after', 'Sarkees', 'graduates', 'from', 'Eastern', 'High', 'School', 'in', 'June', '.']",news,8,0,0
2186,"['The', 'long', 'crisis', 'in', 'Laos', 'appeared', 'nearing', 'a', 'showdown', 'today', '.']",news,4,1,0
2187,"['Britain', 'announced', 'that', 'it', 'is', 'asking', 'the', 'Soviet', 'Union', 'to', 'agree', 'tomorrow', 'to', 'an', 'immediate', 'cease-fire', '.']",news,5,1,0
2188,"['Help', 'asked']",news,1,0,0
2189,"['In', 'Vientiane', ',', 'the', 'royal', 'Laotian', 'government', 'decided', 'today', 'to', 'ask', 'its', '``', 'friends', 'and', 'neighbors', ""''"", 'for', 'help', 'in', 'fighting', 'what', 'it', 'called', 'a', 'new', 'rebel', 'offensive', 'threatening', 'the', 'southeast', 'Asian', 'kingdom', '.']",news,10,4,0
2190,"[""Britain's"", 'plans', 'to', 'press', 'Russia', 'for', 'a', 'definite', 'cease-fire', 'timetable', 'was', 'announced', 'in', 'London', 'by', 'Foreign', 'Secretary', 'Lord', 'Home', '.']",news,9,1,0
2191,"['He', 'said', 'Britain', 'also', 'proposed', 'that', 'the', 'international', 'truce', 'commission', 'should', 'be', 'reconvened', ',', 'sent', 'to', 'New', 'Delhi', 'and', 'from', 'there', 'to', 'Laos', 'to', 'verify', 'the', 'cease-fire', '.']",news,7,1,0
2192,"['A', '14-power', 'conference', 'on', 'Laos', 'should', 'then', 'meet', 'on', 'May', '5', ',', 'he', 'said', '.']",news,3,1,0
2193,"['Plea', 'for', 'arms']",news,2,0,0
2194,"['The', 'Laos', 'government', 'plea', 'for', 'help', 'was', 'made', 'by', 'Foreign', 'Minister', 'Tiao', 'Sopsaisana', '.']",news,8,0,0
2195,"['He', 'indicated', 'that', 'requests', 'would', 'be', 'made', 'for', 'more', 'U.S.', 'arms', 'and', 'more', 'U.S.', 'military', 'advisers', '.']",news,5,3,0
2196,"['He', 'declared', 'the', 'government', 'is', 'thinking', 'of', 'asking', 'for', 'foreign', 'troops', 'if', 'the', 'situation', 'worsens', '.']",news,3,1,0
2197,"['One', 'of', 'the', 'first', 'moves', 'made', 'after', 'a', 'cabinet', 'decision', 'was', 'to', 'request', 'the', 'United', 'States', 'to', 'establish', 'a', 'full-fledged', 'military', 'assistance', 'group', 'instead', 'of', 'the', 'current', 'civilian', 'body', '.']",news,8,5,0
2198,"['A', 'note', 'making', 'the', 'request', 'was', 'handed', 'to', 'U.S.', 'Ambassador', 'Winthrop', 'G.', 'Brown', '.']",news,7,0,0
2199,"['Heavy', 'support']",news,1,1,0
2200,"['The', 'Laos', 'government', 'said', 'four', 'major', 'Pathet', 'Lao', 'rebel', 'attacks', 'had', 'been', 'launched', ',', 'heavily', 'supported', 'by', 'troops', 'from', 'Communist', 'North', 'Viet', 'Nam', '.']",news,11,1,0
2201,"['The', 'minister', ',', 'describing', 'the', 'attacks', 'which', 'led', 'up', 'to', 'the', 'appeal', ',', 'said', 'that', '60,000', 'Communist', 'North', 'Vietnamese', 'were', 'fighting', 'royal', 'army', 'troops', 'on', 'one', 'front', '--', 'near', 'Thakhek', ',', 'in', 'southern-central', 'Laos', '.']",news,11,2,0
2202,"['There', 'was', 'no', 'confirmation', 'of', 'such', 'massive', 'assaults', 'from', 'independent', 'sources', '.']",news,3,3,0
2203,"['In', 'the', 'past', 'such', 'government', 'claims', 'have', 'been', 'found', 'exaggerated', '.']",news,2,3,0
2204,"['Havana', ',', 'April', '19', '.']",news,2,0,0
2205,"['--', 'Two', 'Americans', 'and', 'seven', 'Cubans', 'were', 'executed', 'by', 'firing', 'squads', 'today', 'as', 'Castro', 'military', 'tribunals', 'began', 'decreeing', 'the', 'death', 'penalty', 'for', 'captured', 'invasion', 'forces', 'and', 'suspected', 'collaborators', '.']",news,11,3,0
2206,"['A', 'Havana', 'radio', 'broadcast', 'identified', 'the', 'Americans', 'as', 'Howard', 'Anderson', 'and', 'August', 'Jack', 'McNair', '.']",news,9,0,0
2207,"['The', 'executions', 'took', 'place', 'at', 'dawn', 'only', 'a', 'few', 'hours', 'after', 'Havana', 'radio', 'announced', 'their', 'conviction', 'by', 'a', 'revolutionary', 'tribunal', 'at', 'Pinar', 'Del', 'Rio', ',', 'where', 'the', 'executions', 'took', 'place', '.']",news,13,2,0
2208,"['Arms', 'plot', 'charged']",news,2,0,0
2209,"['The', 'broadcast', 'said', 'Anderson', ',', 'a', 'Seattle', 'ex-marine', 'and', 'Havana', 'businessman', ',', 'and', 'McNair', ',', 'of', 'Miami', ',', 'were', 'condemned', 'on', 'charges', 'of', 'smuggling', 'arms', 'to', 'Cuban', 'rebels', '.']",news,12,0,0
2210,"['Anderson', 'operated', 'three', 'Havana', 'automobile', 'service', 'stations', 'and', 'was', 'commander', 'of', 'the', 'Havana', 'American', 'Legion', 'post', 'before', 'it', 'disbanded', 'since', 'the', 'start', 'of', 'Fidel', ""Castro's"", 'regime', '.']",news,14,0,0
2211,"[""Anderson's"", 'wife', 'and', 'four', 'children', 'live', 'in', 'Miami', '.']",news,4,0,0
2212,"['McNair', ',', '25', ',', 'was', 'seized', 'March', '20', 'with', 'four', 'Cubans', 'and', 'accused', 'of', 'trying', 'to', 'land', 'a', 'boatload', 'of', 'rifles', 'in', 'Pinar', 'Del', 'Rio', ',', 'about', '35', 'miles', 'from', 'Havana', '.']",news,10,0,0
2213,"['Report', 'others', 'held']",news,2,0,0
2214,"['At', 'least', '20', 'other', 'Americans', 'were', 'reported', 'to', 'have', 'been', 'arrested', 'in', 'a', 'mass', 'political', 'roundup', '.']",news,3,3,0
2215,"['Among', 'them', 'were', 'a', 'number', 'of', 'newsmen', ',', 'including', 'Henry', 'Raymont', ',', 'of', 'United', 'Press', 'International', ',', 'and', 'Robert', 'Berrellez', ',', 'of', 'Associated', 'Press', '.']",news,11,0,0
2216,"['So', 'many', 'Cubans', 'were', 'reported', 'being', 'swept', 'into', 'the', 'Castro', 'dragnet', 'that', 'the', 'massive', 'Sports', 'Palace', 'auditorium', 'and', 'at', 'least', 'one', 'hotel', 'were', 'converted', 'into', 'makeshift', 'jails', '.']",news,9,3,0
2217,"['More', 'than', '1,000', 'were', 'said', 'to', 'have', 'been', 'arrested', '--', '100', 'of', 'them', 'Roman', 'Catholic', 'priests', '.']",news,3,1,0
2218,"['Of', 'the', 'millions', 'who', 'have', 'served', 'time', 'in', 'concentration', 'camps', 'in', 'Siberia', 'as', 'political', 'prisoners', 'of', 'the', 'Soviet', 'state', ',', 'few', 'emerge', 'in', 'the', 'West', 'to', 'tell', 'about', 'it', '.']",news,9,3,0
2219,"['M.', 'Kegham', '--', 'the', 'name', 'is', 'a', 'pseudynom', '--', 'was', 'a', 'teacher', 'in', 'Bucharest', 'and', 'a', 'member', 'of', 'the', 'Armenian', 'Revolutionary', 'Federation', '(', 'ARF', ')', '--', 'two', 'reasons', 'the', 'Communists', 'put', 'him', 'away', 'when', 'they', 'arrived', 'in', '1945', '.']",news,12,1,0
2220,"['Today', ',', 'M.', 'Kegham', 'was', 'in', 'Detroit', ',', 'en', 'route', 'to', 'join', 'his', 'wife', 'and', 'children', 'in', 'California', '.']",news,8,0,0
2221,"['Emory', ""University's"", 'Board', 'of', 'Trustees', 'announced', 'Friday', 'that', 'it', 'was', 'prepared', 'to', 'accept', 'students', 'of', 'any', 'race', 'as', 'soon', 'as', 'the', ""state's"", 'tax', 'laws', 'made', 'such', 'a', 'step', 'possible', '.']",news,10,2,0
2222,"['``', 'Emory', ""University's"", 'charter', 'and', 'by-laws', 'have', 'never', 'required', 'admission', 'or', 'rejection', 'of', 'students', 'on', 'the', 'basis', 'of', 'race', ""''"", ',', 'board', 'chairman', 'Henry', 'L.', 'Bowden', 'stated', '.']",news,13,1,0
2223,"['But', 'an', 'official', 'statement', 'adopted', 'by', 'the', '33-man', 'Emory', 'board', 'at', 'its', 'annual', 'meeting', 'Friday', 'noted', 'that', 'state', 'taxing', 'requirements', 'at', 'present', 'are', 'a', 'roadblock', 'to', 'accepting', 'Negroes', '.']",news,10,4,0
2224,"['The', 'statement', 'explained', 'that', 'under', 'the', 'Georgia', 'Constitution', 'and', 'state', 'law', ',', 'tax-exempt', 'status', 'is', 'granted', 'to', 'educational', 'institutions', 'only', 'if', 'they', 'are', 'segregated', '.']",news,7,1,0
2225,"['``', 'Emory', 'could', 'not', 'continue', 'to', 'operate', 'according', 'to', 'its', 'present', 'standards', 'as', 'an', 'institution', 'of', 'higher', 'learning', ',', 'of', 'true', 'university', 'grade', ',', 'and', 'meet', 'its', 'financial', 'obligations', ',', 'without', 'the', 'tax-exemption', 'privileges', 'which', 'are', 'available', 'to', 'it', 'only', 'so', 'long', 'as', 'it', 'conforms', 'to', 'the', 'aforementioned', 'constitutional', 'and', 'statutory', 'provisions', ""''"", ',', 'the', 'statement', 'said', '.']",news,11,8,0
2226,"['The', 'statement', 'did', 'not', 'mention', 'what', 'steps', 'might', 'be', 'taken', 'to', 'overcome', 'the', 'legal', 'obstacles', 'to', 'desegregation', '.']",news,4,1,0
2227,"['An', 'Emory', 'spokesman', 'indicated', ',', 'however', ',', 'that', 'the', 'university', 'itself', 'did', 'not', 'intend', 'to', 'make', 'any', 'test', 'of', 'the', 'laws', '.']",news,5,0,0
2228,"['The', 'Georgia', 'Constitution', 'gives', 'the', 'Legislature', 'the', 'power', 'to', 'exempt', 'colleges', 'from', 'property', 'taxation', 'if', ',', 'among', 'other', 'criteria', ',', '``', 'all', 'endowments', 'to', 'institutions', 'established', 'for', 'white', 'people', 'shall', 'be', 'limited', 'to', 'white', 'people', ',', 'and', 'all', 'endowments', 'to', 'institutions', 'established', 'for', 'colored', 'people', 'shall', 'be', 'limited', 'to', 'colored', 'people', ""''"", '.']",news,16,5,0
2229,"['At', 'least', 'two', 'private', 'colleges', 'in', 'the', 'Atlanta', 'area', 'now', 'or', 'in', 'the', 'past', 'have', 'had', 'integrated', 'student', 'bodies', ',', 'but', 'their', 'tax-exempt', 'status', 'never', 'has', 'been', 'challenged', 'by', 'the', 'state', '.']",news,8,3,0
2230,"['Emory', 'is', 'affiliated', 'with', 'the', 'Methodist', 'Church', '.']",news,3,0,0
2231,"['Some', 'church', 'leaders', ',', 'both', 'clerical', 'and', 'lay', ',', 'have', 'criticized', 'the', 'university', 'for', 'not', 'taking', 'the', 'lead', 'in', 'desegregation', '.']",news,6,1,0
2232,"['Urged', 'in', '1954']",news,0,0,0
2233,"['The', 'student', 'newspaper', ',', 'The', 'Emory', 'Wheel', ',', 'as', 'early', 'as', 'the', 'fall', 'of', '1954', 'called', 'for', 'desegregation', '.']",news,6,0,0
2234,"['``', 'From', 'its', 'beginning', ""''"", ',', 'the', ""trustees'"", 'statement', 'said', 'Friday', ',', '``', 'Emory', 'University', 'has', 'assumed', 'as', 'its', 'primary', 'commitment', 'a', 'dedication', 'to', 'excellence', 'in', 'Christian', 'higher', 'learning', '.']",news,10,2,0
2235,"['Teaching', ',', 'research', 'and', 'study', ',', 'according', 'to', 'highest', 'standards', ',', 'under', 'Christian', 'influence', ',', 'are', 'paramount', 'in', 'the', 'Emory', 'University', 'policy', '.']",news,9,2,0
2236,"['``', 'As', 'a', 'private', 'institution', ',', 'supported', 'by', 'generous', 'individuals', ',', 'Emory', 'University', 'will', 'recognize', 'no', 'obligation', 'and', 'will', 'adopt', 'no', 'policy', 'that', 'would', 'conflict', 'with', 'its', 'purpose', 'to', 'promote', 'excellence', 'in', 'scholarship', 'and', 'Christian', 'education', '.']",news,10,3,0
2237,"['``', 'There', 'is', 'not', 'now', ',', 'nor', 'has', 'there', 'ever', 'been', 'in', 'Emory', ""University's"", 'charter', 'or', 'by-laws', 'any', 'requirement', 'that', 'students', 'be', 'admitted', 'or', 'rejected', 'on', 'the', 'basis', 'of', 'race', ',', 'color', 'or', 'creed', '.']",news,9,1,0
2238,"['Insofar', 'as', 'its', 'own', 'governing', 'documents', 'are', 'concerned', ',', 'Emory', 'University', 'could', 'now', 'consider', 'applications', 'from', 'prospective', 'students', ',', 'and', 'others', 'seeking', 'applications', 'from', 'prospective', 'students', ',', 'and', 'others', 'seeking', 'the', 'opportunity', 'to', 'study', 'or', 'work', 'at', 'the', 'university', ',', 'irrespective', 'of', 'race', ',', 'color', 'or', 'creed', '.']",news,17,3,0
2239,"['Corporate', 'existence']",news,1,1,0
2240,"['``', 'On', 'the', 'other', 'hand', ',', 'Emory', 'University', 'derives', 'its', 'corporate', 'existence', 'from', 'the', 'State', 'of', 'Georgia', '.']",news,6,2,0
2241,"['``', 'When', 'and', 'if', 'it', 'can', 'do', 'so', 'without', 'jeopardizing', 'constitutional', 'and', 'statutory', 'tax-exemption', 'privileges', 'essential', 'to', 'the', 'maintenance', 'of', 'its', 'educational', 'program', 'and', 'facilities', ',', 'Emory', 'University', 'will', 'consider', 'applications', 'of', 'persons', 'desiring', 'to', 'study', 'or', 'work', 'at', 'the', 'University', 'without', 'regard', 'to', 'race', ',', 'color', 'or', 'creed', ',', 'continuing', 'university', 'policy', 'that', 'all', 'applications', 'shall', 'be', 'considered', 'on', 'the', 'basis', 'of', 'intellectual', 'and', 'moral', 'standards', 'and', 'other', 'criteria', 'designed', 'to', 'assure', 'the', 'orderly', 'and', 'effective', 'conduct', 'of', 'the', 'university', 'and', 'the', 'fulfillment', 'of', 'its', 'mission', 'as', 'an', 'institution', 'of', 'Christian', 'higher', 'education', ""''"", '.']",news,27,10,0
2242,"['A', 'young', 'man', 'was', 'killed', 'and', 'two', 'others', 'injured', 'at', 'midnight', 'Friday', 'when', 'the', 'car', 'they', 'were', 'riding', 'slid', 'into', 'a', 'utility', 'pole', 'on', 'Lake', 'Avenue', 'near', 'Waddell', 'Street', ',', 'NE', ',', 'police', 'said', '.']",news,13,2,0
2243,"['The', 'dead', 'youth', 'was', 'identified', 'as', 'Robert', 'E.', 'Sims', ',', '19', ',', 'of', '1688', 'Oak', 'Knoll', 'Cir.', ',', 'Aj', '.']",news,8,1,0
2244,"['Patrolman', 'G.', 'E.', 'Hammons', 'said', 'the', 'car', 'evidently', 'slid', 'out', 'of', 'control', 'on', 'rain-slick', 'streets', 'and', 'slammed', 'into', 'the', 'pole', '.']",news,8,1,0
2245,"['The', 'other', 'occupants', 'were', 'James', 'Willard', 'Olvey', ',', '18', ',', 'of', '963', 'Ponce', 'De', 'Leon', 'Ave.', ',', 'NE', ',', 'and', 'Larry', 'Coleman', 'Barnett', ',', '19', ',', 'of', '704', 'Hill', 'St.', ',', 'SE', ',', 'both', 'of', 'whom', 'were', 'treated', 'at', 'Grady', 'Hospital', 'for', 'severe', 'lacerations', 'and', 'bruises', '.']",news,19,2,0
2246,"['The', 'Atlanta', 'Negro', 'student', 'movement', 'renewed', 'its', 'demands', 'for', 'movie', 'theater', 'integration', 'Friday', 'and', 'threatened', 'picketing', 'and', '``', 'stand-ins', ""''"", 'if', 'negotiations', 'failed', '.']",news,12,0,0
2247,"['The', 'demands', 'were', 'set', 'forth', 'in', 'letters', 'to', 'seven', 'owners', 'of', 'first-run', 'theaters', 'by', 'the', 'Committee', 'on', 'Appeal', 'for', 'Human', 'Rights', '.']",news,9,1,0
2248,"[""'"", 'intend', 'to', 'attend', ""'""]",news,1,0,0
2249,"['``', 'We', 'intend', 'to', 'attend', 'the', 'downtown', 'theaters', 'before', 'the', 'first', 'of', 'the', 'year', ""''"", ',', 'the', 'identically', 'worded', 'letters', 'said', '.']",news,4,2,0
2250,"['The', 'letters', 'set', 'a', 'Nov.', '15', 'deadline', 'for', 'the', 'start', 'of', 'negotiations', '.']",news,5,0,0
2251,"['They', 'indicated', 'that', 'stand-ins', 'and', 'picketing', 'would', 'be', 'started', 'if', 'theater', 'owners', 'failed', 'to', 'cooperate', '.']",news,3,0,0
2252,"['Downtown', 'and', 'art', 'theater', 'managers', 'and', 'owners', ',', 'contacted', 'Friday', 'night', 'for', 'comment', 'on', 'the', 'COAHR', 'request', ',', 'said', 'they', 'had', 'no', 'knowledge', 'of', 'such', 'a', 'letter', ',', 'and', 'that', 'it', 'was', 'not', 'in', 'the', 'Friday', 'mail', '.']",news,13,1,0
2253,"['However', ',', 'three', 'of', 'the', 'managers', 'did', 'say', 'that', 'they', 'would', 'agree', 'to', 'attend', 'the', 'proposed', 'meeting', 'if', 'all', 'of', 'the', 'other', 'managers', 'decided', 'to', 'attend', '.']",news,3,1,0
2254,"['Gather', 'here']",news,1,0,0
2255,"['The', 'COAHR', 'letter', 'comes', 'on', 'the', 'eve', 'of', 'a', 'large', 'gathering', 'of', 'theater', 'managers', 'and', 'owners', 'scheduled', 'to', 'begin', 'here', 'Sunday', '.']",news,8,1,0
2256,"['Several', 'theater', 'operators', 'said', ',', 'however', ',', 'that', 'there', 'is', 'little', 'likelihood', 'of', 'the', 'subject', 'being', 'discussed', 'during', 'the', 'three-day', 'affair', '.']",news,5,3,0
2257,"['Student', 'leaders', 'began', 'sporadic', 'efforts', 'to', 'negotiate', 'theater', 'integration', 'several', 'months', 'ago', '.']",news,6,2,0
2258,"['Charles', 'A.', 'Black', ',', 'COAHR', 'chairman', ',', 'said', 'Friday', 'that', 'three', 'theater', 'representatives', 'had', 'agreed', 'to', 'meet', 'with', 'the', 'students', 'on', 'Oct.', '31', 'but', 'had', 'failed', 'to', 'show', 'up', '.']",news,10,0,0
2259,"['He', 'declined', 'to', 'name', 'the', 'three', '.']",news,0,0,0
2260,"[""Friday's"", 'letters', 'asked', 'for', 'a', 'Nov.', '15', 'meeting', '.']",news,4,0,0
2261,"['Failure', 'to', 'attend', 'the', 'meeting', 'or', 'explain', 'inability', 'to', 'attend', ',', 'the', 'letters', 'said', ',', 'would', 'be', 'considered', 'a', '``', 'sign', 'of', 'indifference', ""''"", '.']",news,7,0,0
2262,"['Black', 'said', 'COAHR', '``', 'hoped', 'to', 'be', 'able', 'to', 'integrate', 'the', 'theaters', 'without', 'taking', 'direct', 'action', ',', 'but', 'we', 'are', 'pledged', 'to', 'using', 'every', 'legal', 'and', 'nonviolent', 'means', 'at', 'our', 'disposal', ""''""]",news,6,4,0
2263,"['A', 'prepared', 'statement', 'released', 'by', 'the', 'student', 'group', 'Friday', 'stated', 'that', '``', 'extensive', 'research', 'by', 'COAHR', 'into', 'techniques', 'and', 'methods', 'of', 'theater', 'integration', 'in', 'other', 'cities', 'indicated', 'that', 'the', 'presence', 'of', 'picket', 'lines', 'and', 'stand-ins', 'before', 'segregated', 'theaters', 'causes', 'a', 'drop', 'in', 'profits', ""''""]",news,18,4,0
2264,"['Besides', 'managers', 'of', 'downtown', 'theaters', ',', 'the', 'students', 'sent', 'letters', 'to', 'owners', 'of', 'art', 'theaters', 'in', 'the', 'uptown', 'area', 'and', 'Buckhead', '.']",news,10,1,0
2265,"['R.', 'E.', 'Killingsworth']",news,3,0,0
2266,"['Raymond', 'E.', 'Killingsworth', ',', '72', ',', 'died', 'Sunday', 'at', 'his', 'home', 'at', '357', 'Venable', 'St.', ',', 'Aj', '.']",news,7,1,0
2267,"['Mr.', 'Kililngsworth', 'was', 'a', 'foreman', 'with', 'S', 'and', 'W', 'Cafeteria', '.']",news,6,0,0
2268,"['He', 'was', 'born', 'in', 'Pittsboro', ',', 'Miss.', ',', 'and', 'was', 'a', 'veteran', 'of', 'World', 'War', '1', '.']",news,5,0,0
2269,"['He', 'was', 'a', 'member', 'of', 'the', 'Baptist', 'church', '.']",news,3,0,0
2270,"['Survivors', 'include', 'two', 'brothers', ',', 'C.', 'E.', 'Killingsworth', ',', 'Atlanta', ',', 'and', 'John', 'Killingsworth', ',', 'Warren', ',', 'Ohio', ';', ';']",news,10,0,0
2271,"['and', 'two', 'sisters', ',', 'Miss', 'Minnie', 'Kililngsworth', 'and', 'Mrs.', 'Bessie', 'Bloom', ',', 'both', 'of', 'Gettysburg', ',', 'Pa.', '.']",news,9,0,0
2272,"['John', 'W.', 'Ball']",news,3,0,0
2273,"['John', 'William', 'Ball', ',', '68', ',', 'of', '133', 'Marietta', 'St.', 'NW', ',', 'Apartment', '101b', ',', 'died', 'Sunday', 'at', 'his', 'home', '.']",news,9,0,0
2274,"['Mr.', 'Ball', 'was', 'a', 'house', 'painter', '.']",news,4,0,0
2275,"['He', 'was', 'a', 'member', 'of', 'the', 'Oakland', 'City', 'Methodist', 'Church', 'and', 'a', 'native', 'of', 'Atlanta', '.']",news,7,0,0
2276,"['Funeral', 'services', 'will', 'be', 'at', '2', 'p.m.', 'Tuesday', 'at', ""Blanchard's"", 'Chapel', 'with', 'the', 'Rev.', 'J.', 'H.', 'Hearn', 'officiating', '.']",news,11,0,0
2277,"['Survivors', 'include', 'his', 'sister', ',', 'Mrs.', 'Emma', 'B.', 'Odom', 'of', 'Atlanta', '.']",news,7,0,0
2278,"['Mrs.', 'Lola', 'Harris']",news,3,0,0
2279,"['Mrs.', 'Lola', 'M.', 'Harris', ',', 'a', 'native', 'of', 'Atlanta', ',', 'died', 'Sunday', 'at', 'her', 'home', 'in', 'Garland', ',', 'Tex.', '.']",news,10,0,0
2280,"['Survivors', 'include', 'a', 'son', ',', 'Charles', 'R.', 'Fergeson', ',', 'Memphis', ',', 'Tenn.', ';', ';']",news,7,0,0
2281,"['two', 'daughters', ',', 'Mrs.', 'Gene', 'F.', 'Stoll', 'and', 'Miss', 'Nancy', 'Harris', ',', 'both', 'of', 'Garland', ';', ';']",news,9,0,0
2282,"['her', 'father', ',', 'H.', 'T.', 'Simpson', ',', 'Greenville', ',', 'S.C.', ',', 'and', 'three', 'sisters', ',', 'Mrs.', 'W.', 'E.', 'Little', 'and', 'Mrs.', 'Hal', 'B.', 'Wansley', ',', 'both', 'of', 'Atlanta', ',', 'and', 'Mrs.', 'Bill', 'Wallace', ',', 'Wilmington', ',', 'N.C.', '.']",news,21,0,0
2283,"['A', '24-year-old', 'Atlanta', 'man', 'was', 'arrested', 'Sunday', 'after', 'breaking', 'into', 'the', 'home', 'of', 'relatives', 'in', 'search', 'of', 'his', 'wife', ',', 'hitting', 'his', 'uncle', 'with', 'a', 'rock', 'and', 'assaulting', 'two', 'police', 'officers', 'who', 'tried', 'to', 'subdue', 'him', ',', 'police', 'said', '.']",news,11,2,0
2284,"['Patrolmen', 'J.', 'W.', 'Slate', 'and', 'A.', 'L.', 'Crawford', 'Jr.', 'said', 'they', 'arrested', 'Ronald', 'M.', 'Thomas', ',', 'of', '1671', 'Nakoma', 'St.', ',', 'NW', ',', 'after', 'he', 'assaulted', 'the', 'officers', '.']",news,15,0,0
2285,"['Police', 'account']",news,2,0,0
2286,"['The', 'officers', 'gave', 'this', 'account', ':']",news,2,0,0
2287,"['Thomas', 'early', 'Sunday', 'went', 'to', 'the', 'home', 'of', 'his', 'uncle', 'and', 'aunt', ',', 'Mr.', 'and', 'Mrs.', 'R.', 'C.', 'Thomas', ',', '511', 'Blanche', 'St.', ',', 'NW', ',', 'looking', 'for', 'his', 'wife', ',', 'Margaret', 'Lou', 'Thomas', ',', '18', ',', 'and', 'their', '11-month-old', 'baby', '.']",news,18,2,0
2288,"['The', 'younger', 'Thomas', 'ripped', 'a', 'screen', 'door', ',', 'breaking', 'the', 'latch', ',', 'and', 'after', 'an', 'argument', 'struck', 'his', 'uncle', 'with', 'a', 'rock', ',', 'scratching', 'his', 'face', '.']",news,7,2,0
2289,"['He', 'also', 'struck', 'his', 'aunt', 'and', 'wife', ',', 'and', 'during', 'the', 'melee', 'the', 'baby', 'also', 'suffered', 'scratches', '.']",news,5,0,0
2290,"['When', 'police', 'arrived', 'the', 'man', 'was', 'still', 'violent', ',', 'Slate', 'said', '.']",news,3,1,0
2291,"['Attacks', 'officer']",news,2,0,0
2292,"['He', 'attacked', 'one', 'of', 'the', 'officers', 'and', 'was', 'restrained', '.']",news,1,0,0
2293,"['About', 'five', 'minutes', 'later', 'he', 'jumped', 'up', ',', 'Slate', 'said', ',', 'and', 'struck', 'the', 'two', 'policemen', 'again', '.']",news,3,0,0
2294,"['He', 'was', 'then', 'subdued', 'and', 'placed', 'in', 'the', 'police', 'car', 'to', 'be', 'taken', 'to', 'Grady', 'Hospital', 'for', 'treatment', 'of', 'scratches', 'received', 'in', 'the', 'melee', '.']",news,7,0,0
2295,"['Then', 'he', 'attacked', 'the', 'two', 'officers', 'again', 'and', 'was', 'again', 'restrained', ',', 'Slate', 'related', '.']",news,2,0,0
2296,"['Slate', 'said', 'he', 'and', 'Crawford', 'received', 'cuts', 'and', 'scratches', 'and', 'their', 'uniforms', 'were', 'badly', 'torn', '.']",news,5,0,0
2297,"['Thomas', 'was', 'charged', 'with', 'four', 'counts', 'of', 'assault', 'and', 'battery', '.']",news,4,0,0
2298,"['Two', 'counts', 'of', 'assault', 'on', 'an', 'officer', ',', 'resisting', 'arrest', ',', 'disturbance', 'and', 'cursing', ',', 'police', 'said', '.']",news,7,0,0
2299,"['A', 'hearing', 'was', 'set', 'for', '30', 'a.m.', 'Tuesday', '.']",news,3,0,0
2300,"['Mrs.', 'Mary', 'Self', ',', 'who', 'knows', 'more', 'than', 'any', 'other', 'person', 'about', 'the', '5,000', 'city', 'employes', 'for', 'whom', 'she', 'has', 'kept', 'personnel', 'records', 'over', 'the', 'years', ',', 'has', 'closed', 'her', 'desk', 'and', 'retired', '.']",news,10,2,0
2301,"['Over', 'the', 'weekend', ',', 'Mrs.', 'Self', ',', 'personnel', 'clerk', ',', 'was', 'a', 'feted', 'and', 'honored', 'guest', 'of', 'the', 'Atlanta', 'Club', ',', 'organization', 'of', 'women', 'employes', 'at', 'City', 'Hall', '.']",news,13,2,0
2302,"['After', '18', 'years', 'in', 'the', 'personnel', 'office', ',', 'she', 'has', 'taken', 'a', 'disability', 'pension', 'on', 'advice', 'of', 'her', 'doctors', '.']",news,7,0,0
2303,"['As', 'personnel', 'clerk', ',', 'she', 'handled', 'thousands', 'of', 'entries', ',', 'ranging', 'from', 'appointments', 'to', 'jobs', ',', 'to', 'transfers', 'to', 'other', 'employments', ',', 'to', 'pensions', '.']",news,9,1,0
2304,"['``', 'I', 'have', 'enjoyed', 'it', 'and', 'will', 'feel', 'a', 'bit', 'lost', 'at', 'least', 'for', 'a', 'while', ""''"", ',', 'she', 'said', 'wistfully', 'Friday', '.']",news,3,1,0
2305,"['One', 'of', 'the', 'largest', 'crowds', 'in', 'the', ""club's"", 'history', 'turned', 'out', 'to', 'pay', 'tribute', 'to', 'Mrs.', 'Self', 'and', 'her', 'service', '.']",news,7,1,0
